title,company,ratings,reviews,experience,salary,location,days_posted,tags,job_simp,post,salary_mentioned,reviews_int,min_experience,max_experience,avg_experience,days_posted_int,bangalore,delhi,kolkata,mumbai,remote,gurgaon,hyderabad,noida,pune,python,sql,deep_learning,big_data,r,nlp,sas,git,tensorflow,pytorch,tableau,power_bi,apache,c++
Machine Learning (AI) Architect,Persistent,4.1,1781 Reviews,5-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3 Days Ago, time analysis machine intelligence employee engagement data structures artificial intelligence networking,mle,na,0,1781,5,12,8.5,3,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Cognizant,4.0,31471 Reviews,8-10 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",30+ Days Ago, python R machine learning statistical programming data programming machine program,data scientist,na,0,31471,8,10,9.0,30,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Senior Data Scientist-New Frontiers,IDFC FIRST Bharat,4.2,458 Reviews,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",16 Days Ago, data automation frontier sql machine analysis senior data analysis,data scientist,senior,0,458,3,7,5.0,16,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (HR),NCR Corporation,4.1,1009 Reviews,1-2 Yrs,Not disclosed,"Mumbai, New Delhi, Hyderabad/Secunderabad",30+ Days Ago, python data science business intelligence intelligence machine recruitment analytics data,data scientist,na,0,1009,1,2,1.5,30,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science - Technical Lead,Paytm,3.7,4707 Reviews,6-8 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru",30+ Days Ago, python data science science machine learning processing scala brand data processing,na,senior,0,4707,6,8,7.0,30,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science - Engineering Manager,Paytm,3.7,4707 Reviews,3-5 Yrs,Not disclosed,"New Delhi, Bangalore/Bengaluru",30+ Days Ago, python data science monitoring management science machine learning analysis engineering management,manager,na,0,4707,3,5,4.0,30,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Impetus Technologies,3.9,262 Reviews,4-8 Yrs,Not disclosed,"Noida, Indore, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",26 Days Ago, Natural Language Processing machine learning Deep Learning data languages processing process machine,data scientist,na,0,262,4,8,6.0,26,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Data Scientist,WSD Consultant,4.5,10 Reviews,1-5 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",3 Days Ago, management application program technology management intelligence teaching development data,data scientist,na,0,10,1,5,3.0,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,4.1,34218 Reviews,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,7 Days Ago, Consulting Application development Analytics SQL Python management control cc,na,na,0,34218,2,6,4.0,7,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Manager,EXL,3.9,5532 Reviews,5-8 Yrs,Not disclosed,Noida,3 Days Ago, management collections sql analysis computer analytics data analysis data,manager,na,0,5532,5,8,6.5,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Manager Data Science,Optum,4.1,2265 Reviews,5-7 Yrs,Not disclosed,Noida,6 Days Ago, Data Scientist management sas r data data science machine machine learning,manager,na,0,2265,5,7,6.0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Data Scientist,Taskus,3.8,576 Reviews,6-11 Yrs,Not disclosed,Gurgaon/Gurugram,7 Days Ago, python data science forecasting monitoring science extraction machine learning deep learning,data scientist,na,0,576,6,11,8.5,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Analyst-Data Science,AMERICAN EXPRESS,4.4,2040 Reviews,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, machine analytics sql sas sql data science sas interpersonal,analyst,na,0,2040,0,3,1.5,30,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Analyst-Data Science,AMERICAN EXPRESS,4.4,2040 Reviews,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, sql sas sql machine learning data global mobility customer marketing science sas,analyst,na,0,2040,0,3,1.5,30,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Senior Analyst-Risk Management,AMERICAN EXPRESS,4.4,2040 Reviews,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, sql management machine learning risk management customer profitability data marketing customer marketing,analyst,senior,0,2040,0,3,1.5,30,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Tabsquare,4.0,3 Reviews,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",10 Days Ago, customer engagement data mining analytics operations mysql analytical data engagement,data scientist,na,0,3,1,3,2.0,10,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,KAS Services India,3.9,30 Reviews,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",11 Days Ago, customer engagement data science science information architecture supply quality support services architecture,data scientist,senior,0,30,4,9,6.5,11,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manager - Innovations Hub - Machine Learning,PwC,3.8,4497 Reviews,7-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",2 Days Ago, python data mining analytical automation robotics analytics process data,mle,na,0,4497,7,9,8.0,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist - Statistics,Optum,4.1,2265 Reviews,5-7 Yrs,Not disclosed,Gurgaon/Gurugram,14 Days Ago, Data science time predictive machine learning sql time series python statistics,data scientist,senior,0,2265,5,7,6.0,14,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist Manufacturing,Jubilant Pharmova Limited,4.1,1095 Reviews,5-9 Yrs,Not disclosed,Noida,10 Days Ago, machine research analytics oracle processing procurement data operations,data scientist,na,0,1095,5,9,7.0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (Manufacturing),Jubilant Pharmova Limited,4.1,1095 Reviews,5-9 Yrs,Not disclosed,Noida,10 Days Ago, agrochemicals nutrition analytical machine manufacturing analytics project data,data scientist,na,0,1095,5,9,7.0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist - Sales & Marketing,Jubilant Pharmova Limited,4.1,1095 Reviews,3-7 Yrs,Not disclosed,Noida,10 Days Ago, agrochemicals analytical sql sales marketing analytics data pharmaceutical,data scientist,na,0,1095,3,7,5.0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Jubilant Pharmova Limited,4.1,1095 Reviews,4-8 Yrs,Not disclosed,Noida,10 Days Ago, analytical data processing research analytics operations research pharmaceutical oracle teradata,data scientist,na,0,1095,4,8,6.0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,Justified Advertising Software Services India Digital,2.5,3 Reviews,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",18 Days Ago, modeling sql analysis analytics predictive modeling data analysis data senior,data scientist,senior,0,3,6,10,8.0,18,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Course5 Intelligence,3.7,143 Reviews,3-8 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",3 Days Ago, data data science sql coding python science,data scientist,na,0,143,3,8,5.5,3,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lead Assistant Manager,EXL,3.9,5532 Reviews,3-6 Yrs,Not disclosed,Noida,17 Days Ago, management analytical healthcare sql analysis analytics data analysis assistance,manager,senior,0,5532,3,6,4.5,17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Siemens,4.2,5086 Reviews,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, data science deep learning machine analytics computer science data vision architecture,data scientist,na,0,5086,2,6,4.0,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
