game_id,season,season_type,game_date,game_date_time,athlete_id,athlete_display_name,team_id,team_name,team_location,team_short_display_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,reason,active,athlete_jersey,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_display_name,team_uid,team_slug,team_logo,team_abbreviation,team_color,team_alternate_color,home_away,team_winner,team_score,opponent_team_id,opponent_team_name,opponent_team_location,opponent_team_display_name,opponent_team_abbreviation,opponent_team_logo,opponent_team_color,opponent_team_alternate_color,opponent_team_score
401442535,2022,3,2022-06-16,2022-06-16 21:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,40.0,12.0,21.0,6.0,11.0,4.0,4.0,0.0,7.0,7.0,7.0,2.0,1.0,2.0,4.0,+8,34.0,True,False,False,COACH'S DECISION,True,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,away,True,103,2,Celtics,Boston,Boston Celtics,BOS,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,006532,f1f2f3,90
401442534,2022,3,2022-06-13,2022-06-13 21:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,37.0,7.0,22.0,0.0,9.0,2.0,3.0,0.0,4.0,4.0,8.0,2.0,0.0,1.0,2.0,+15,16.0,True,False,False,COACH'S DECISION,False,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,home,True,104,2,Celtics,Boston,Boston Celtics,BOS,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,006532,f1f2f3,94
401442533,2022,3,2022-06-10,2022-06-10 21:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,41.0,14.0,26.0,7.0,14.0,8.0,9.0,2.0,8.0,10.0,4.0,0.0,0.0,5.0,3.0,+11,43.0,True,False,False,COACH'S DECISION,True,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,away,True,107,2,Celtics,Boston,Boston Celtics,BOS,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,006532,f1f2f3,97
401442532,2022,3,2022-06-08,2022-06-08 21:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,37.0,12.0,22.0,6.0,11.0,1.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,3.0,4.0,-14,31.0,True,False,False,COACH'S DECISION,False,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,away,False,100,2,Celtics,Boston,Boston Celtics,BOS,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,006532,f1f2f3,116
401442531,2022,3,2022-06-05,2022-06-05 20:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,32.0,9.0,21.0,5.0,12.0,6.0,7.0,0.0,6.0,6.0,4.0,3.0,0.0,2.0,2.0,+24,29.0,True,False,False,COACH'S DECISION,False,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,home,True,107,2,Celtics,Boston,Boston Celtics,BOS,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,006532,f1f2f3,88
401442530,2022,3,2022-06-02,2022-06-02 21:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,38.0,12.0,25.0,7.0,14.0,3.0,4.0,0.0,5.0,5.0,5.0,3.0,0.0,2.0,3.0,-9,34.0,True,False,False,COACH'S DECISION,False,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,home,False,108,2,Celtics,Boston,Boston Celtics,BOS,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,006532,f1f2f3,120
401438948,2022,3,2022-05-26,2022-05-26 21:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,35.0,5.0,17.0,2.0,7.0,3.0,3.0,0.0,3.0,3.0,9.0,3.0,1.0,2.0,2.0,+11,15.0,True,False,False,COACH'S DECISION,False,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,home,True,120,6,Mavericks,Dallas,Dallas Mavericks,DAL,https://a.espncdn.com/i/teamlogos/nba/500/dal.png,0C479D,c4ced3,110
401438947,2022,3,2022-05-24,2022-05-24 21:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,33.0,7.0,16.0,2.0,5.0,4.0,5.0,0.0,5.0,5.0,8.0,1.0,0.0,2.0,2.0,-23,20.0,True,False,False,COACH'S DECISION,True,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,away,False,109,6,Mavericks,Dallas,Dallas Mavericks,DAL,https://a.espncdn.com/i/teamlogos/nba/500/dal.png,0C479D,c4ced3,119
401438946,2022,3,2022-05-22,2022-05-22 21:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,39.0,10.0,20.0,5.0,10.0,6.0,6.0,1.0,4.0,5.0,11.0,0.0,0.0,3.0,5.0,+19,31.0,True,False,False,COACH'S DECISION,True,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,away,True,109,6,Mavericks,Dallas,Dallas Mavericks,DAL,https://a.espncdn.com/i/teamlogos/nba/500/dal.png,0C479D,c4ced3,100
401438945,2022,3,2022-05-20,2022-05-20 21:00:00-04:00,3975,Stephen Curry,9,Warriors,Golden State,Warriors,37.0,11.0,21.0,6.0,10.0,4.0,4.0,0.0,8.0,8.0,5.0,0.0,0.0,3.0,4.0,+15,32.0,True,False,False,COACH'S DECISION,False,30,S. Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,Point Guard,PG,Golden State Warriors,s:40~l:46~t:9,golden-state-warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png,GS,003da5,fdb927,home,True,126,6,Mavericks,Dallas,Dallas Mavericks,DAL,https://a.espncdn.com/i/teamlogos/nba/500/dal.png,0C479D,c4ced3,117
